id_cliente;genero;jubilado;casado;hijos;meses_antiguedad;servicio_telefonico;multiples_lineas;servicio_internet;tipo_servicio_internet;antivirus_web;copia_seguridad;antivirus_dispositivo;soporte_tecnico;tv_streaming;peliculas_streaming;contrato;factura_papel;metodo_pago;monto_abono;monto_total;abandono
6180-YBIQI;Hombre;0;0;0;5;0;2;1;1;0;0;0;0;0;0;1;0;Cheque papel;243;1002;0
6728-DKUCO;Mujer;0;1;1;72;1;1;1;2;1;1;0;0;1;1;2;1;Cheque electronico;10415;730305;0
9750-BOOHV;Mujer;0;0;0;32;0;2;1;1;1;0;0;0;0;0;2;0;Cheque papel;3015;92765;0
8597-CWYHH;Hombre;0;0;0;43;1;1;1;2;0;0;0;0;1;1;2;0;Cheque papel;9435;39213;0
2848-YXSMW;Hombre;0;1;1;72;1;0;0;0;2;2;2;2;2;2;3;0;Debito automatico;194;136325;0
0486-HECZI;Hombre;0;1;0;55;1;1;1;2;1;1;0;0;1;0;1;1;Cheque electronico;9675;52389;1
4549-ZDQYY;Mujer;0;0;0;52;1;0;1;1;1;0;1;1;0;0;2;0;Debito automatico;5795;304225;0
5712-AHQNN;Mujer;0;0;0;43;1;0;1;2;0;1;1;0;1;0;1;1;Cheque electronico;9165;39541;0
4846-WHAFZ;Mujer;1;1;0;37;1;1;1;2;0;0;0;0;0;0;1;1;Cheque electronico;765;286815;1
5256-SKJGO;Mujer;0;1;1;64;0;2;1;1;0;1;0;1;1;1;3;1;Cheque electronico;546;34235;0
3071-VBYPO;Hombre;0;1;1;3;1;0;1;2;1;1;0;0;1;0;1;0;Cheque electronico;8985;2484;0
9560-BBZXK;Mujer;0;0;0;36;0;2;1;1;1;0;0;0;0;0;3;0;Transferencia bancaria automatica;3105;112635;0
5299-RULOA;Mujer;0;1;1;10;1;1;1;2;1;0;0;0;1;1;1;1;Cheque electronico;10025;106465;1
8402-OOOHJ;Mujer;0;0;0;41;1;0;0;0;2;2;2;2;2;2;3;0;Cheque papel;2065;83515;0
9445-ZUEQE;Hombre;0;1;1;27;1;1;1;2;0;1;0;1;0;0;1;1;Debito automatico;852;21516;0
1091-SOZGA;Mujer;0;1;1;56;1;1;1;2;0;0;1;0;1;1;2;1;Debito automatico;998;551545;0
2928-HLDBA;Mujer;0;0;0;6;1;0;0;0;2;2;2;2;2;2;1;0;Cheque papel;207;11275;0
0404-SWRVG;Hombre;0;0;0;3;1;1;1;2;0;0;0;0;0;0;1;1;Cheque electronico;744;22955;1
6497-TILVL;Mujer;0;1;1;7;1;0;1;1;1;0;0;0;0;0;1;0;Cheque papel;507;35035;0
7219-TLZHO;Mujer;0;1;1;4;1;0;0;0;2;2;2;2;2;2;1;0;Cheque papel;2085;629;0
4622-YNKIJ;Hombre;0;0;0;33;1;0;1;2;1;0;0;1;1;0;3;1;Cheque electronico;8895;302765;0
4412-YLTKF;Mujer;1;0;0;27;1;1;1;2;0;0;1;0;0;0;1;1;Cheque electronico;7805;21355;1
6734-PSBAW;Hombre;0;1;0;72;1;1;0;0;2;2;2;2;2;2;3;1;Transferencia bancaria automatica;2355;172395;0
3930-ZGWVE;Hombre;0;0;0;1;1;0;0;0;2;2;2;2;2;2;1;0;Cheque papel;1975;1975;0
2639-UGMAZ;Hombre;1;0;0;71;0;2;1;1;1;1;0;0;1;1;2;1;Cheque electronico;5645;398535;0
2876-GZYZC;Mujer;0;0;0;13;1;1;1;2;0;0;0;0;0;1;1;1;Cheque electronico;8595;121565;0
6207-WIOLX;Mujer;0;1;1;25;0;2;1;1;1;1;1;0;1;1;1;1;Debito automatico;586;150265;1
8587-XYZSF;Hombre;0;0;0;67;1;0;1;1;0;0;0;1;0;0;3;0;Transferencia bancaria automatica;5055;32601;0
3091-FYHKI;Hombre;0;0;0;1;0;2;1;1;0;0;0;0;0;1;1;1;Cheque electronico;3545;3545;1
2372-HWUHI;Hombre;0;0;0;2;1;0;1;1;0;0;0;0;0;0;1;0;Cheque electronico;4435;8125;1
7799-LGRDP;Mujer;0;0;0;43;1;1;0;0;2;2;2;2;2;2;3;1;Debito automatico;257;11882;0
7850-VWJUU;Mujer;0;0;0;23;1;0;1;2;1;0;0;0;0;0;1;1;Transferencia bancaria automatica;75;17785;0
3774-VBNXY;Mujer;0;1;1;64;1;0;0;0;2;2;2;2;2;2;3;0;Cheque papel;202;127775;0
6217-KDYWC;Hombre;0;0;1;57;1;0;0;0;2;2;2;2;2;2;3;1;Cheque papel;196;117055;0
0390-DCFDQ;Mujer;1;1;0;1;1;0;1;2;0;0;0;0;0;0;1;1;Cheque papel;7045;7045;1
3146-MSEGF;Mujer;1;1;1;72;1;1;1;1;1;1;1;1;1;1;3;1;Debito automatico;8805;642565;0
4080-OGPJL;Mujer;0;0;0;8;1;1;1;1;1;0;0;1;0;1;1;0;Cheque electronico;7115;56365;1
1095-WGNGG;Mujer;0;1;0;61;1;1;1;2;0;1;0;0;1;1;3;1;Transferencia bancaria automatica;10105;597125;0
2636-SJDOU;Hombre;0;0;0;64;1;1;1;2;1;1;0;0;0;0;2;1;Debito automatico;843;528905;0
1131-QQZEB;Hombre;1;1;0;71;1;1;0;0;2;2;2;2;2;2;3;0;Transferencia bancaria automatica;2395;17562;0
5716-EZXZN;Mujer;0;1;1;65;1;1;1;2;1;1;0;1;1;0;3;1;Debito automatico;9905;64167;0
6837-BJYDQ;Hombre;0;0;0;3;1;0;0;0;2;2;2;2;2;2;2;0;Cheque papel;196;6135;0
2135-RXIHG;Hombre;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;Cheque electronico;4565;4565;1
6440-DKQGE;Hombre;0;0;1;30;1;0;1;1;0;1;1;0;1;0;2;0;Debito automatico;645;192995;0
3466-BYAVD;Hombre;0;1;1;15;1;0;1;1;0;1;1;1;0;1;1;1;Cheque papel;695;10714;0
3780-YVMFA;Mujer;0;1;1;8;1;0;1;1;0;0;0;1;1;1;1;1;Cheque electronico;6855;56435;0
3874-EQOEP;Hombre;0;0;0;7;1;1;1;2;0;0;0;0;1;1;1;0;Cheque papel;95;6555;1
1679-JRFBR;Mujer;0;1;1;70;1;1;1;2;1;1;1;0;1;1;2;1;Debito automatico;10815;793055;0
9073-ZZIAY;Hombre;0;1;1;62;1;0;1;1;1;1;1;1;1;1;3;0;Cheque electronico;861;521525;0
3077-RSNTJ;Mujer;0;1;1;6;1;0;0;0;2;2;2;2;2;2;1;0;Cheque papel;197;1135;0
6551-GNYDG;Mujer;0;1;1;14;1;0;1;2;0;0;0;0;0;1;1;1;Transferencia bancaria automatica;809;11528;0
9167-APMXZ;Mujer;0;0;0;22;1;1;1;2;0;0;0;0;1;0;1;1;Transferencia bancaria automatica;8415;182195;0
2749-CTKAJ;Hombre;0;1;1;22;1;0;0;0;2;2;2;2;2;2;2;0;Cheque papel;2015;4199;0
6371-NZYEG;Hombre;0;1;1;16;1;0;1;1;1;0;1;0;1;0;3;0;Cheque papel;6425;1024;0
7554-NEWDD;Hombre;0;0;0;10;1;1;0;0;2;2;2;2;2;2;3;0;Transferencia bancaria automatica;257;2516;0
8992-VONJD;Mujer;0;0;1;13;1;0;1;1;1;1;0;0;0;0;1;1;Cheque electronico;56;76455;0
0867-MKZVY;Mujer;0;1;0;20;1;1;1;2;1;0;0;0;0;0;1;0;Cheque electronico;824;159235;1
4482-EWFMI;Mujer;0;0;0;2;1;0;1;2;0;0;0;0;0;0;1;1;Cheque electronico;697;1352;0
4648-YPBTM;Hombre;0;0;0;53;1;1;1;1;0;1;1;1;0;1;3;1;Transferencia bancaria automatica;739;395825;0
2907-ILJBN;Mujer;0;1;1;11;1;0;0;0;2;2;2;2;2;2;2;0;Cheque papel;206;2339;0
6345-FZOQH;Hombre;0;1;0;69;1;0;0;0;2;2;2;2;2;2;3;0;Cheque papel;199;136345;0
3376-BMGFE;Mujer;0;0;0;4;1;0;1;2;0;0;0;0;0;0;1;1;Transferencia bancaria automatica;709;273;1
5997-OPVFA;Hombre;0;1;0;72;1;1;1;1;1;1;1;1;1;1;3;1;Transferencia bancaria automatica;8905;625445;0
3445-HXXGF;Hombre;1;1;0;58;0;2;1;1;0;1;1;0;0;1;1;1;Cheque electronico;453;26512;1
1159-WFSGR;Mujer;0;1;1;16;1;0;0;0;2;2;2;2;2;2;1;0;Cheque electronico;204;3214;0
7654-YWJUF;Hombre;0;1;0;43;1;0;1;2;1;0;1;1;0;0;2;1;Transferencia bancaria automatica;8425;353925;0
1875-QIVME;Mujer;0;1;0;2;1;1;1;2;0;0;1;1;1;1;1;1;Cheque electronico;1044;2428;1
6727-IOTLZ;Hombre;0;1;0;14;1;0;1;1;0;1;1;1;1;1;3;0;Cheque papel;8195;118175;0
0691-JVSYA;Mujer;0;1;0;53;1;0;1;2;0;0;1;0;1;1;2;1;Transferencia bancaria automatica;9485;50002;1
5918-VUKWP;Mujer;0;0;0;32;1;0;0;0;2;2;2;2;2;2;2;0;Transferencia bancaria automatica;2055;65455;0
1744-JHKYS;Mujer;0;1;0;34;1;1;0;0;2;2;2;2;2;2;1;0;Cheque electronico;247;7802;0
2656-FMOKZ;Mujer;1;0;0;15;1;1;1;2;0;0;0;0;0;0;1;1;Cheque papel;7445;11457;1
2070-FNEXE;Mujer;1;0;0;7;1;0;1;2;1;0;0;0;0;0;1;0;Transferencia bancaria automatica;7645;5036;1
5947-SGKCL;Mujer;0;1;1;15;1;1;1;2;0;1;1;0;1;1;1;1;Transferencia bancaria automatica;10535;155925;0
3712-PKXZA;Hombre;0;1;0;61;1;0;0;0;2;2;2;2;2;2;2;1;Debito automatico;2055;1252;0
6317-YPKDH;Mujer;0;0;0;1;0;2;1;1;0;1;0;0;0;0;1;0;Transferencia bancaria automatica;2995;2995;1
6582-OIVSP;Mujer;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;Cheque papel;453;453;0
9367-WXLCH;Hombre;0;0;0;8;1;1;1;2;0;0;0;0;0;1;1;0;Transferencia bancaria automatica;845;66265;1
5524-KHNJP;Hombre;0;1;1;33;1;0;1;1;1;0;1;0;1;1;2;0;Debito automatico;7475;24533;0
1918-ZBFQJ;Mujer;0;0;0;13;1;0;1;2;0;1;1;0;0;0;1;1;Cheque electronico;7925;111165;1
1024-GUALD;Mujer;0;1;0;1;0;2;1;1;0;0;0;0;0;0;1;1;Cheque electronico;248;248;1
4827-USJHP;Hombre;0;0;0;20;1;0;1;1;0;1;0;0;0;0;1;1;Cheque papel;518;102385;0
8167-GJLRN;Hombre;0;0;0;3;0;2;1;1;0;0;0;1;0;0;1;0;Cheque electronico;304;8215;0
0956-SYCWG;Mujer;0;0;0;13;1;0;0;0;2;2;2;2;2;2;2;0;Cheque electronico;1965;2448;0
8017-UVSZU;Mujer;0;1;0;40;1;1;1;1;0;1;0;0;0;0;1;0;Debito automatico;566;23791;0
7100-FQPRV;Hombre;0;1;1;43;1;1;1;1;1;0;0;1;0;1;2;1;Debito automatico;719;317335;0
2472-OVKUP;Hombre;0;1;0;6;1;0;1;2;0;1;1;0;0;1;1;1;Cheque electronico;91;531;1
2984-RGEYA;Mujer;0;1;1;69;1;0;0;0;2;2;2;2;2;2;3;0;Transferencia bancaria automatica;1975;13754;0
9680-NIAUV;Mujer;0;1;1;72;1;1;1;2;1;1;1;0;1;1;3;0;Debito automatico;1097;81293;0
2146-EGVDT;Hombre;0;1;1;59;1;0;0;0;2;2;2;2;2;2;3;0;Debito automatico;193;11927;0
2604-IJPDU;Mujer;0;1;0;20;1;0;1;2;1;1;0;1;1;0;1;1;Cheque electronico;9655;190165;0
9178-JHUVJ;Hombre;0;1;1;24;1;1;0;0;2;2;2;2;2;2;3;1;Transferencia bancaria automatica;241;5874;0
6168-YBYNP;Hombre;0;0;0;59;1;1;1;2;0;1;1;1;1;1;1;1;Cheque electronico;11135;651975;0
7255-SSFBC;Hombre;0;1;1;72;1;1;1;2;0;1;1;1;1;1;3;1;Transferencia bancaria automatica;11225;804165;0
3645-DEYGF;Hombre;0;0;1;1;1;0;0;0;2;2;2;2;2;2;1;0;Cheque papel;2075;2075;0
9323-HGFWY;Mujer;0;1;0;27;1;0;1;2;1;0;0;1;1;1;2;1;Debito automatico;1019;268115;0
8544-GOQSH;Mujer;0;0;0;14;1;0;1;2;0;1;0;1;0;0;1;1;Debito automatico;8005;11123;0
3363-DTIVD;Hombre;0;1;1;71;1;1;1;2;1;0;1;0;1;1;3;0;Cheque electronico;10555;74055;0
7018-WBJNK;Hombre;0;0;1;13;1;0;1;2;0;0;0;0;1;0;1;1;Debito automatico;783;103395;0
9142-KZXOP;Hombre;0;0;0;44;1;0;1;2;0;0;0;0;0;0;1;0;Debito automatico;6885;295895;0
7674-YTAFD;Mujer;0;0;0;33;1;0;1;2;0;1;0;1;0;0;2;1;Transferencia bancaria automatica;7995;268485;0
6348-SNFUS;Hombre;0;1;1;72;0;2;1;1;1;1;1;1;0;1;3;1;Debito automatico;5545;41792;0
1285-OKIPP;Hombre;0;0;0;1;1;0;1;2;0;0;0;0;0;1;1;0;Cheque electronico;799;799;1
7825-ECJRF;Mujer;0;0;0;19;1;0;1;2;1;0;1;1;1;1;1;1;Cheque electronico;1066;193445;1
1347-KTTTA;Hombre;0;1;0;64;1;0;1;2;0;1;1;1;1;1;2;1;Debito automatico;10245;66541;0
7841-TZDMQ;Hombre;0;0;0;2;1;0;1;1;0;0;0;0;0;0;1;1;Debito automatico;46;845;1
4195-NZGTA;Mujer;0;0;0;1;0;2;1;1;0;0;0;0;0;0;1;0;Cheque electronico;2525;2525;0
7157-SMCFK;Hombre;0;0;1;61;1;0;0;0;2;2;2;2;2;2;3;0;Cheque papel;1975;11242;0
4709-LKHYG;Mujer;0;1;1;29;1;0;0;0;2;2;2;2;2;2;2;0;Cheque electronico;20;54005;0
2504-DSHIH;Hombre;1;1;0;23;1;1;1;2;0;0;0;0;0;1;1;0;Cheque electronico;868;197585;0
0699-NDKJM;Mujer;0;1;0;57;0;2;1;1;1;1;1;0;1;1;1;1;Transferencia bancaria automatica;5875;343745;0
9286-BHDQG;Hombre;0;1;1;72;0;2;1;1;1;1;1;1;0;0;3;0;Debito automatico;4525;31398;0
0230-WEQUW;Hombre;0;1;0;66;0;2;1;1;1;1;1;1;1;0;3;1;Transferencia bancaria automatica;566;37892;0
2040-LDIWQ;Hombre;0;1;1;65;1;1;1;1;0;1;1;1;1;1;3;1;Transferencia bancaria automatica;842;53245;0
