ID,Trabajo,Edad,Salario,Compra
206,Independiente,55,130000,Si
207,Independiente,52,114000,No
208,Independiente,40,142000,Si
209,Independiente,46,22000,No
210,Independiente,48,96000,Si
211,Dependiente,52,150000,Si
212,Independiente,59,42000,No
213,Dependiente,35,58000,No
214,Dependiente,47,43000,No
215,Independiente,60,108000,Si
216,Dependiente,49,65000,No
217,Dependiente,40,78000,No
218,Independiente,46,96000,No
219,Dependiente,59,143000,Si
220,Independiente,41,80000,No
221,Dependiente,35,91000,Si
222,Dependiente,37,144000,Si
223,Dependiente,60,102000,Si
224,Independiente,35,60000,No
225,Dependiente,37,53000,No
226,Independiente,36,126000,Si
227,Dependiente,56,133000,Si
228,Independiente,40,72000,No
229,Independiente,42,80000,Si
230,Independiente,35,147000,Si
231,Dependiente,39,42000,No
232,Dependiente,40,107000,Si
233,Dependiente,49,86000,Si
234,Independiente,38,112000,No
235,Dependiente,46,79000,Si
236,Dependiente,40,57000,No
237,Independiente,37,80000,No
238,Independiente,46,82000,No
239,Independiente,53,143000,Si
240,Dependiente,42,149000,Si
241,Dependiente,38,59000,No
242,Independiente,50,88000,Si
243,Independiente,56,104000,Si
244,Independiente,41,72000,No
245,Independiente,51,146000,Si
246,Independiente,35,50000,No
247,Independiente,57,122000,Si
248,Dependiente,41,52000,No
249,Independiente,35,97000,Si
250,Independiente,44,39000,No
251,Dependiente,37,52000,No
252,Independiente,48,134000,Si
253,Independiente,37,146000,Si
254,Independiente,50,44000,No
255,Independiente,52,90000,Si
256,Independiente,41,72000,No
257,Dependiente,40,57000,No
258,Independiente,58,95000,Si
259,Independiente,45,131000,Si
260,Independiente,35,77000,No
261,Dependiente,36,144000,Si
262,Independiente,55,125000,Si
263,Independiente,35,72000,No
264,Dependiente,48,90000,Si
265,Independiente,42,108000,Si
266,Dependiente,40,75000,No
267,Dependiente,37,74000,No
268,Independiente,47,144000,Si
269,Dependiente,40,61000,No
270,Independiente,43,133000,No
271,Independiente,59,76000,Si
272,Dependiente,60,42000,Si
273,Dependiente,39,106000,Si
274,Independiente,57,26000,Si
275,Dependiente,57,74000,Si
276,Dependiente,38,71000,No
277,Dependiente,49,88000,Si
278,Independiente,52,38000,Si
279,Independiente,50,36000,Si
280,Independiente,59,88000,Si
281,Dependiente,35,61000,No
282,Dependiente,37,70000,Si
283,Independiente,52,21000,Si
284,Dependiente,48,141000,No
285,Independiente,37,93000,Si
286,Independiente,37,62000,No
287,Independiente,48,138000,Si
288,Dependiente,41,79000,No
289,Independiente,37,78000,Si
290,Dependiente,39,134000,Si
291,Dependiente,49,89000,Si
292,Dependiente,55,39000,Si
293,Dependiente,37,77000,No
294,Independiente,35,57000,No
295,Independiente,36,63000,No
296,Dependiente,42,73000,Si
297,Independiente,43,112000,Si
298,Dependiente,45,79000,No
299,Dependiente,46,117000,Si
300,Independiente,58,38000,Si
301,Dependiente,48,74000,Si
302,Independiente,37,137000,Si
303,Dependiente,37,79000,Si
304,Independiente,40,60000,No
305,Dependiente,42,54000,No
306,Independiente,51,134000,No
307,Independiente,47,113000,Si
308,Dependiente,36,125000,Si
309,Independiente,38,50000,No
310,Independiente,42,70000,No
311,Dependiente,39,96000,Si
312,Independiente,38,50000,No
313,Independiente,49,141000,Si
314,Independiente,39,79000,No
315,Independiente,39,75000,Si
316,Independiente,54,104000,Si
317,Dependiente,35,55000,No
318,Dependiente,45,32000,Si
319,Dependiente,36,60000,No
320,Independiente,52,138000,Si
321,Independiente,53,82000,Si
322,Dependiente,41,52000,No
323,Independiente,48,30000,Si
324,Independiente,48,131000,Si
325,Independiente,41,60000,No
326,Dependiente,41,72000,No
327,Independiente,42,75000,No
328,Dependiente,36,118000,Si
329,Independiente,47,107000,Si
330,Dependiente,38,51000,No
331,Independiente,48,119000,Si
332,Dependiente,42,65000,No
333,Dependiente,40,65000,No
334,Dependiente,57,60000,Si
335,Independiente,36,54000,No
336,Dependiente,58,144000,Si
337,Dependiente,35,79000,No
338,Independiente,38,55000,No
339,Dependiente,39,122000,Si
340,Independiente,53,104000,Si
341,Dependiente,35,75000,No
342,Independiente,38,65000,No
343,Independiente,47,51000,Si
344,Dependiente,47,105000,Si
345,Independiente,41,63000,No
346,Dependiente,53,72000,Si
347,Independiente,54,108000,Si
348,Dependiente,39,77000,No
349,Dependiente,38,61000,No
350,Independiente,38,113000,Si
351,Dependiente,37,75000,No
352,Independiente,42,90000,Si
353,Independiente,37,57000,No
354,Dependiente,36,99000,Si
355,Dependiente,60,34000,Si
356,Dependiente,54,70000,Si
357,Independiente,41,72000,No
358,Dependiente,40,71000,Si
359,Dependiente,42,54000,No
360,Dependiente,43,129000,Si
361,Independiente,53,34000,Si
362,Independiente,47,50000,Si
363,Independiente,42,79000,No
364,Dependiente,42,104000,Si
365,Independiente,59,29000,Si
366,Independiente,58,47000,Si
367,Dependiente,46,88000,Si
368,Dependiente,38,71000,No
369,Independiente,54,26000,Si
370,Independiente,60,46000,Si
371,Dependiente,60,83000,Si
372,Independiente,39,73000,No
373,Dependiente,59,130000,Si
374,Independiente,37,80000,No
375,Independiente,46,32000,Si
376,Independiente,46,74000,No
377,Independiente,42,53000,No
378,Dependiente,41,87000,Si
379,Independiente,58,23000,Si
380,Dependiente,42,64000,No
381,Dependiente,48,33000,Si
382,Independiente,44,139000,Si
383,Dependiente,49,28000,Si
384,Independiente,57,33000,Si
385,Dependiente,56,60000,Si
386,Independiente,49,39000,Si
387,Dependiente,39,71000,No
388,Dependiente,47,34000,Si
389,Independiente,48,35000,Si
390,Dependiente,48,33000,Si
391,Dependiente,47,23000,Si
392,Independiente,45,45000,Si
393,Dependiente,60,42000,Si
394,Independiente,39,59000,No
395,Independiente,46,41000,Si
396,Dependiente,51,23000,Si
397,Independiente,50,20000,Si
398,Dependiente,36,33000,No
399,Independiente,49,36000,Si
